"origin","destination","distance","time"
"52.4383875316811, 13.1925910431348","52.4602228, 13.5056519",34148,5398
"52.4383875316811, 13.1925910431348","52.474199, 13.141735",31453,5847
"52.4383875316811, 13.1925910431348","52.5021802, 13.364582",17792,3424
"52.4383875316811, 13.1925910431348","52.5205791, 13.4089041",21802,3132
"52.4383875316811, 13.1925910431348","52.4986678, 13.3566505",16871,3112
"52.4383875316811, 13.1925910431348","52.520848, 13.4084747",21805,3134
"52.4383875316811, 13.1925910431348","52.49694, 13.4540533",28260,4601
"52.4383875316811, 13.1925910431348","52.4840199, 13.4053429",19260,4110
"52.4383875316811, 13.1925910431348","52.5049039, 13.4431471",25544,3875
"52.4383875316811, 13.1925910431348","52.524042, 13.402083",21156,3015
"52.4383875316811, 13.1925910431348","52.5071871, 13.390676",19348,3570
"52.4383875316811, 13.1925910431348","52.4583565, 13.2889441",11740,2942
"52.4383875316811, 13.1925910431348","52.5112074, 13.4169157",23060,3417
"52.4383875316811, 13.1925910431348","52.440493, 13.3911183",18788,3991
"52.5159539270266, 13.1712105248622","52.5075075, 13.3903737",17222,4128
"52.5159539270266, 13.1712105248622","52.5542753, 13.3785425",19773,3770
"52.5159539270266, 13.1712105248622","52.5063, 13.3840159",16717,4112
"52.5159539270266, 13.1712105248622","52.5206458, 13.2932877",10528,2461
"52.5159539270266, 13.1712105248622","52.5239216, 13.3888786",18135,3365
"52.5159539270266, 13.1712105248622","52.5168416, 13.3816742",17707,3775
"52.5159539270266, 13.1712105248622","52.5040556, 13.3379413",12855,2950
"52.5159539270266, 13.1712105248622","52.5090125, 13.3792937",16244,3690
"52.5159539270266, 13.1712105248622","52.4983661, 13.3605076",14753,2931
"52.5159539270266, 13.1712105248622","52.5478117, 13.3892456",18834,3028
"52.5159539270266, 13.1712105248622","52.5046782, 13.4490212",22957,3814
"52.5159539270266, 13.1712105248622","52.5136642, 13.4727613",28371,4335
"52.5159539270266, 13.1712105248622","52.5016098, 13.381181",16460,3377
"52.5159539270266, 13.1712105248622","52.5214137, 13.4034811",18975,3288
"52.5159539270266, 13.1712105248622","52.5176913, 13.4419715",25193,4004
"52.5159539270266, 13.1712105248622","52.517699, 13.3970326",18517,4053
"52.5159539270266, 13.1712105248622","52.5303108, 13.3186121",14131,3459
"52.5159539270266, 13.1712105248622","52.5146378, 13.3905283",18352,3999
"52.5159539270266, 13.1712105248622","52.5145186, 13.487322",28447,4645
"52.5159539270266, 13.1712105248622","52.5170316, 13.4012274",19034,4060
"52.5159539270266, 13.1712105248622","52.5207714, 13.3889021",17802,3102
"52.5159539270266, 13.1712105248622","52.5027268, 13.4453492",23357,4148
"52.5159539270266, 13.1712105248622","52.5284267, 13.3720175",19516,2748
"52.5159539270266, 13.1712105248622","52.5209131, 13.3871461",17671,3045
"52.5159539270266, 13.1712105248622","52.5304903, 13.3791152",20074,3202
"52.5159539270266, 13.1712105248622","52.4864896, 13.4217418",21037,3601
"52.5159539270266, 13.1712105248622","52.5215057, 13.4069139",19732,3510
"52.5159539270266, 13.1712105248622","52.5174377, 13.3898033",18095,3341
"52.5159539270266, 13.1712105248622","52.5111669, 13.4430356",25394,3740
"52.5159539270266, 13.1712105248622","52.5076615, 13.454537",23302,4084
"52.5159539270266, 13.1712105248622","52.5121441, 13.3083771",10800,2572
"52.5159539270266, 13.1712105248622","52.5087884, 13.378434",16212,3664
"52.5159539270266, 13.1712105248622","52.5019061, 13.3308361",12077,2697
"52.5159539270266, 13.1712105248622","52.5088651, 13.2707514",7884,1569
